First Name#;Last Name#;Hair Color#;Age
edmond#;lind#;brown#;32
alex#;noga#;white#;5
Lasse#;kebab#;african-american#;10
alex#;kebab#;coloured#;35
Lasse#;larsen#;eskimo#;7
florent#;lind#;brown#;31
Lasse#;nielsen#;white#;13
Joseph#;pagh#;black#;1
marco#;mouer#;brown#;5
edmond#;nielsen#;black#;24
alex#;noga#;african-american#;23
zygimantas#;lundberg#;white#;20
marco#;nielsen#;brown#;32
david#;hauge#;chingchong#;20
michael#;hauge#;brown#;14
kasper#;pagh#;black#;1
florent#;borum#;chingchong#;20
Lasse#;kebab#;brown#;3
mikkel#;noga#;coloured#;22
marco#;blum#;black#;32
philip#;kebab#;brown#;21
kasper#;kebab#;black#;36
philip#;borum#;white#;30
david#;blum#;chingchong#;21
mikkel#;mouer#;eskimo#;32
alex#;lind#;eskimo#;13
Joseph#;falk#;african-american#;44
michael#;kebab#;african-american#;33
philip#;mouer#;chingchong#;36
philip#;hauge#;coloured#;17
Joseph#;pagh#;eskimo#;1
Joseph#;falk#;chingchong#;38
philip#;lundberg#;brown#;14
michael#;mouer#;african-american#;5
alex#;mouer#;black#;30
mikkel#;hauge#;coloured#;8
florent#;lind#;black#;31
david#;pagh#;eskimo#;5
Lasse#;larsen#;african-american#;20
Joseph#;pagh#;black#;37
florent#;hauge#;chingchong#;11
michael#;pagh#;coloured#;40
Lasse#;larsen#;black#;36
david#;kebab#;eskimo#;29
florent#;pagh#;white#;9
kasper#;borum#;coloured#;8
marco#;falk#;eskimo#;12
edmond#;borum#;eskimo#;3
kasper#;borum#;white#;9
Lasse#;lundberg#;white#;4
Daniel#;pagh#;white#;1
Daniel#;blum#;african-american#;18
florent#;hauge#;african-american#;13
kasper#;hauge#;african-american#;5
michael#;kebab#;african-american#;8
philip#;falk#;brown#;8
alex#;larsen#;coloured#;8
philip#;lundberg#;brown#;18
florent#;kebab#;african-american#;21
florent#;nielsen#;chingchong#;35
edmond#;mouer#;african-american#;3
alex#;blum#;eskimo#;11
edmond#;pagh#;chingchong#;18
edmond#;nielsen#;brown#;26
philip#;larsen#;brown#;37
florent#;blum#;african-american#;20
marco#;kebab#;coloured#;19
michael#;mouer#;white#;18
florent#;lind#;brown#;24
kasper#;borum#;eskimo#;5
kasper#;lundberg#;chingchong#;28
philip#;borum#;brown#;6
Martin#;mouer#;white#;3
alex#;kebab#;coloured#;25
zygimantas#;borum#;brown#;44
philip#;noga#;coloured#;17
philip#;blum#;coloured#;37
alex#;lundberg#;african-american#;9
Lasse#;nielsen#;coloured#;29
Joseph#;blum#;white#;10
alex#;mouer#;african-american#;19
philip#;hauge#;african-american#;15
david#;lundberg#;brown#;33
edmond#;kebab#;white#;16
david#;nielsen#;black#;1
michael#;larsen#;black#;1
Daniel#;kebab#;coloured#;16
Joseph#;blum#;black#;31
edmond#;lind#;black#;5
Joseph#;falk#;black#;40
Joseph#;nielsen#;white#;21
Joseph#;borum#;african-american#;2
Joseph#;hauge#;eskimo#;24
zygimantas#;lundberg#;coloured#;6
kasper#;lundberg#;african-american#;2
edmond#;blum#;african-american#;25
Daniel#;hauge#;brown#;14
michael#;blum#;black#;16
philip#;pagh#;chingchong#;20
david#;lind#;eskimo#;32
Joseph#;noga#;chingchong#;39
marco#;kebab#;african-american#;17
Lasse#;nielsen#;african-american#;18
Joseph#;larsen#;black#;5
david#;larsen#;african-american#;39
michael#;borum#;eskimo#;12
florent#;kebab#;eskimo#;25
zygimantas#;nielsen#;black#;2
Daniel#;falk#;eskimo#;29
Daniel#;mouer#;chingchong#;12
Joseph#;larsen#;white#;10
kasper#;mouer#;african-american#;14
mikkel#;pagh#;chingchong#;31
Martin#;borum#;black#;10
mikkel#;larsen#;eskimo#;6
michael#;kebab#;african-american#;9
zygimantas#;hauge#;chingchong#;13
alex#;blum#;black#;31
alex#;pagh#;black#;41
david#;borum#;african-american#;28
florent#;pagh#;eskimo#;28
Lasse#;noga#;chingchong#;9
marco#;nielsen#;eskimo#;18
Martin#;nielsen#;coloured#;5
florent#;kebab#;brown#;23
florent#;nielsen#;white#;1
Martin#;noga#;black#;28
Joseph#;kebab#;brown#;38
alex#;hauge#;coloured#;6
zygimantas#;larsen#;eskimo#;5
kasper#;lundberg#;eskimo#;38
edmond#;falk#;brown#;24
Joseph#;blum#;brown#;16
kasper#;pagh#;chingchong#;34
kasper#;pagh#;chingchong#;30
Joseph#;nielsen#;chingchong#;1
marco#;kebab#;brown#;2
zygimantas#;mouer#;white#;3
marco#;larsen#;white#;13
mikkel#;mouer#;black#;31
Martin#;blum#;brown#;15
Daniel#;lind#;eskimo#;4
